kaunak.txt

ORGANIZATION,KAUNAKكاونك,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Dizful,NNP,
GPE,Northern,NNP,

rud_hilleh_district.txt

ORGANIZATION,DISTRICT,NNP,
PERSON,Geographical,NNP,

mazara_.txt

ORGANIZATION,MAZARAمزارع,NNP,
PERSON,Geographical,NNP,
GPE,Wadi,NNP,
ORGANIZATION,Sultanate,NNP,

fahal.txt

ORGANIZATION,FAHAL,NNP,
PERSON,Geographical,NNP,
PERSON,Masqat,NNP,

taimah.txt

ORGANIZATION,TAIMAHتيمه,NNP,
PERSON,Geographical,NNP,

zaid_bani.txt

GPE,ZAID,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,زيد,JJ,
PERSON,Geographical,NNP,
PERSON,Arab,NNP,
LOCATION,Southern,NNP,

qarnain.txt

ORGANIZATION,QARNAIN,NNP,
PERSON,Geographical,NNP,

jaramah_khor_al.txt

GPE,JARAMAH,NNP,
ORGANIZATION,الجرامه,JJ,
PERSON,Geographical,NNP,

qarah_barr_al.txt

GPE,QARAH,NNP,
ORGANIZATION,القاره,JJ,
PERSON,Geographical,NNP,
GPE,Eastern,NNP,

hazaim.txt

ORGANIZATION,HAZAIMحزيم,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Kuwait,NNP,

farsi.txt

ORGANIZATION,FARSIفارسي,NNP,
PERSON,Geographical,NNP,
LOCATION,Persian,NNP,

arabi.txt

GPE,ARABIعربيAn,NNP,
GPE,Musallamiyah,NNP,

dhafrah.txt

GPE,DHAFRAH,NNP,
PERSON,Geographical,NNP,

sirr_wadi_as.txt

GPE,SIRR,NNP,
PERSON,Geographical,NNP,
GPE,Najd,NNP,

akhdhar_jabal.txt

GPE,AKHDHAR,NNP,
ORGANIZATION,JABAL,NNP,
LOCATION,Western,JJ,
ORGANIZATION,Oman,NNP,

dahanah.txt

ORGANIZATION,DAHÁNAHدهنه,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Central,NNP,

tayin_wadi.txt

GPE,TAYIN,NNP,
ORGANIZATION,WADI,NNP,
ORGANIZATION,طايين,JJ,
PERSON,Geographical,NNP,

halfain_wadi.txt

GPE,HALFAIN,NNP,
ORGANIZATION,WADI,NNP,
ORGANIZATION,حلیفین,JJ,
PERSON,Geographical,NNP,
GPE,Oman,NNP,

bushehr_peninsula.txt

ORGANIZATION,BUSHEHR,NNP,
ORGANIZATION,PENINSULA,NNP,
PERSON,Geographical,NNP,

hamaidat.txt

GPE,HAMAIDAT,NNP,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,

mansah_wadi.txt

GPE,MANSAH,NNP,
ORGANIZATION,WADI,NNP,
ORGANIZATION,منصح,JJ,
PERSON,Geographical,NNP,
ORGANIZATION,Sultanate,NNP,

maih_wadi.txt

ORGANIZATION,MAIH,NNP,
ORGANIZATION,WADIميح,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Masqat,NNP,

zora.txt

ORGANIZATION,ZORA,NNP,
PERSON,Geographical,NNP,

kufah.txt

GPE,KUFAH,NNP,
PERSON,Geographical,NNP,
GPE,TurkishIraq,NNP,

qishm_island.txt

ORGANIZATION,QISHM,NNP,
ORGANIZATION,ISLAND,NNP,
PERSON,Geographical,NNP,

shaur_river.txt

ORGANIZATION,SHAUR,NNP,
ORGANIZATION,RIVERشاور,NNP,
PERSON,Geographical,NNP,

minab_khur.txt

ORGANIZATION,MINAU,NNP,
ORGANIZATION,KHUR,NNP,
ORGANIZATION,منياو,JJ,
PERSON,Geographical,NNP,

sabians.txt

PERSON,Geographical,NNP,
GPE,Arabic,NNP,
PERSON,Persian,NNP,
PERSON,Sabi,NNP,

jizi.txt

GPE,JIZI,NNP,
ORGANIZATION,البجزي,JJ,
PERSON,Geographical,NNP,

harras_bani.txt

GPE,HARRAS,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,حراص,JJ,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
PERSON,Harrasi,NNP,

dalmah.txt

ORGANIZATION,DALMAHدلمه,NNP,
PERSON,Geographical,NNP,
PERSON,Abu,NNP,
GPE,Trucial,NNP,

hina_bani.txt

GPE,HINA,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,هنا,JJ,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
PERSON,Hinai,NNP,

hanjam.txt

GPE,HANJAM,NNP,
PERSON,Geographical,NNP,
GPE,British,JJ,

hatta.txt

GPE,HATTA,NNP,
ORGANIZATION,WADI,NNP,
PERSON,Geographical,NNP,

dhaluf.txt

GPE,DHALUF,NNP,
ORGANIZATION,ABU,NNP,
ORGANIZATION,ضلوف,JJ,
PERSON,Geographical,NNP,

marun.txt

ORGANIZATION,MARUNمارون,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Kurdistan,NNP,
GPE,Behbehan,NNP,

saih.txt

ORGANIZATION,SAIHسيح,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Aflaj,NNP,

khasib_abul.txt

GPE,KHASIB,NNP,
ORGANIZATION,ABUL,NNP,
ORGANIZATION,الخضيب,JJ,
PERSON,Geographical,NNP,
PERSON,Abul,NNP,

ziyadiyah.txt

PERSON,Geographical,NNP,

batih.txt

ORGANIZATION,BATIHباطح,NNP,
PERSON,Geographical,NNP,
GPE,Kuwait,NNP,
PERSON,Kuwait,NNP,

kunud.txt

ORGANIZATION,KUNUDكنود,NNP,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
GPE,Oman,NNP,
GPE,Ibadhis,NNP,

qitab_bani.txt

GPE,QITAB,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,قتب,JJ,
PERSON,Geographical,NNP,
GPE,Qatab,NNP,
PERSON,Kitab,NNP,

mapur_halat_abu.txt

GPE,MAPUR,NNP,
ORGANIZATION,HALAT,NNP,
ORGANIZATION,ابو,JJ,
ORGANIZATION,ماهر,NNP,
PERSON,Geographical,NNP,

hadd_II.txt

GPE,HADD,NNP,
PERSON,Geographical,NNP,
GPE,Muharraq,NNP,

baraimi_oasis.txt

ORGANIZATION,BARAIMI,NNP,
PERSON,Geographical,NNP,
GPE,English,NNP,

kathir_al.txt

GPE,KATHIR,NNP,
ORGANIZATION,AL,NNP,
ORGANIZATION,كثير,JJ,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
GPE,Dhufar,NNP,

khaimah_ras_al_district.txt

GPE,KHAIMAH,NNP,
ORGANIZATION,DISTRICT,NNP,
ORGANIZATION,الخيمه,JJ,
PERSON,Geographical,NNP,

sa_ad_bait.txt

GPE,SAAD,NNP,
ORGANIZATION,BAIT,NNP,
ORGANIZATION,سعد,JJ,
PERSON,Geographical,NNP,
PERSON,Arabs,NNP,

chah_kutah.txt

PERSON,Geographical,NNP,
ORGANIZATION,Dashtistan,NNP,
LOCATION,Persian,NNP,

bahrain_principality.txt

GPE,BAHRAIN,NNP,
PERSON,Bahrain,NNP,
ORGANIZATION,Qatar,NNP,
ORGANIZATION,Oases,NNP,

khaimah_ras_al_town.txt

GPE,KHAIMAH,NNP,
ORGANIZATION,TOWNراس,NNP,
PERSON,Geographical,NNP,

miyanab.txt

ORGANIZATION,MIYANDAB,NNP,
ORGANIZATION,ميانداب,JJ,
PERSON,Geographical,NNP,

ma_awal.txt

ORGANIZATION,MAAWALمعاول,NNP,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
ORGANIZATION,Oman,NNP,
GPE,Hinawi,NNP,

lailah.txt

ORGANIZATION,LAILAHليله,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Aflaj,NNP,
GPE,Najd,NNP,

shammar_toqah.txt

ORGANIZATION,SHAMMAR,NNP,
PERSON,Geographical,NNP,
GPE,Turkish,JJ,
GPE,Iraq,NNP,

bai_ah.txt

ORGANIZATION,BIAHبيعهA,NNP,
GPE,District,NNP,
ORGANIZATION,Oman,NNP,

dhahirah.txt

GPE,DHAHIRAH,NNP,
PERSON,Geographical,NNP,

hadd_I.txt

GPE,HADD,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Sultanate,NNP,
GPE,Oman,NNP,

riyam_bani.txt

GPE,RIYAM,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,ريام,JJ,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,

maqabil.txt

ORGANIZATION,MAQABILمقابيل,NNP,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
ORGANIZATION,Oman,NNP,

shatvar.txt

GPE,SHATVAR,NNP,
PERSON,Geographical,NNP,

ajman_town.txt

ORGANIZATION,AJMAN,NNP,
GPE,TOWN,NNP,
ORGANIZATION,PRINCIPALITYعجمانSometimes,NNP,
PERSON,Aiman,NNP,
ORGANIZATION,Trucial,NNP,

najd_southern.txt

GPE,NAJD,NNP,
ORGANIZATION,SOUTHERN,NNP,
PERSON,Geographical,NNP,

qurain.txt

GPE,QURAIN,NNP,
ORGANIZATION,QRAINقرين,NNP,
PERSON,Geographical,NNP,
GPE,Grain,NNP,
GPE,Kuwait,NNP,

mazara_i_district.txt

ORGANIZATION,MAZARAI,NNP,
ORGANIZATION,DISTRICTمزارعي,NNP,
PERSON,Geographical,NNP,
GPE,Fars,NNP,

dhahran.txt

GPE,DHAHRAN,NNP,
ORGANIZATION,الظهران,JJ,
PERSON,Geographical,NNP,
ORGANIZATION,Hasa,NNP,

bilad_al_qadim.txt

PERSON,Geographical,NNP,
GPE,Bahrain,NNP,

maqta_.txt

ORGANIZATION,MAQTAمقطع,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Cemetery,NNP,
GPE,Maqlab,NNP,
ORGANIZATION,PHOTOGRAPH,NNP,
ORGANIZATION,POSSESSION,NNP,

hilti_wadi_al.txt

GPE,HILTI,NNP,
ORGANIZATION,الحلتي,JJ,
PERSON,Geographical,NNP,
LOCATION,Western,JJ,

hazam.txt

ORGANIZATION,HAZAMحزم,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Sultanate,NNP,
GPE,Oman,NNP,

jashk_II.txt

GPE,JASHK,NNP,
ORGANIZATION,OLD,NNP,
PERSON,Geographical,NNP,
GPE,English,NNP,

dhawahir.txt

ORGANIZATION,DHAWAHIRظواهر,NNP,
PERSON,Geographical,NNP,
PERSON,Arab,JJ,
ORGANIZATION,Baraimi,NNP,

hamidah.txt

GPE,HAMIDAH,NNP,
PERSON,Geographical,NNP,

siyabiyin.txt

PERSON,Geographical,NNP,
PERSON,Singular,NNP,
PERSON,Siyabi,NNP,

mutair.txt

ORGANIZATION,UMTAIR,NNP,
ORGANIZATION,مطير,JJ,
PERSON,Geographical,NNP,

lusail.txt

ORGANIZATION,LUSAILلوسيل,NNP,
PERSON,Geographical,NNP,
GPE,Qatar,NNP,

masna_ah.txt

ORGANIZATION,MASNAAHمصنعه,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Batinah,NNP,
ORGANIZATION,Oman,NNP,

na_asan_umm.txt

GPE,NAASAN,NNP,
ORGANIZATION,UMM,NNP,
ORGANIZATION,نعسان,JJ,
PERSON,Geographical,NNP,
GPE,Bahrain,NNP,

salbuq_haji.txt

GPE,SALBUQ,NNP,
ORGANIZATION,HAJI,NNP,
ORGANIZATION,سلبوق,JJ,
PERSON,Geographical,NNP,

jaraid.txt

GPE,JARAID,NNP,
PERSON,Geographical,NNP,

hatat.txt

GPE,HATAT,NNP,
ORGANIZATION,SAIH,NNP,
ORGANIZATION,حطاط,JJ,
PERSON,Geographical,NNP,

ali_abu.txt

GPE,ALI,NNP,
ORGANIZATION,ABU,NNP,

fallahiyeh_district.txt

ORGANIZATION,FALLA,NNP,
ORGANIZATION,HIYEH,NNP,
PERSON,Geographical,NNP,

qaiwain_umm_al_town.txt

GPE,QAIWAIN,NNP,
ORGANIZATION,TOWN,NNP,
PERSON,Geographical,NNP,
GPE,English,NNP,

baghdad_qadha.txt

GPE,BAGHDAD,NNP,
ORGANIZATION,QADHAبغدادA,NNP,
GPE,Sanjaq,NNP,
GPE,Baghdad,NNP,
GPE,Turkish,NNP,
GPE,Iraq,NNP,

shaqq.txt

PERSON,Geographical,NNP,

summan.txt

PERSON,Geographical,NNP,

mijan.txt

ORGANIZATION,MIJAN,NNP,
PERSON,Geographical,NNP,

barkah.txt

ORGANIZATION,BARKAHبركه,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Batinah,NNP,

hai_qadha.txt

ORGANIZATION,HAI,NNP,
ORGANIZATION,QADHAحي,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Muntafik,NNP,
ORGANIZATION,Basrah,NNP,
GPE,Turkish,NNP,
GPE,Iraq,NNP,

manana_ah.txt

PERSON,Geographical,NNP,
PERSON,Singular,NNP,

zilfi.txt

GPE,ZILFI,NNP,
PERSON,Geographical,NNP,

za_ab.txt

ORGANIZATION,ZAABزعاب,NNP,
PERSON,Geographical,NNP,
PERSON,Singular,NNP,
ORGANIZATION,Trucial,NNP,
ORGANIZATION,Oman,NNP,

tarut.txt

ORGANIZATION,TARUTتاروت,NNP,
PERSON,Geographical,NNP,
GPE,Qatif,NNP,

hibi.txt

GPE,HIBI,NNP,
PERSON,Geographical,NNP,
PERSON,Or,NNP,

jadgal_tribe.txt

ORGANIZATION,JADGAL,NNP,
ORGANIZATION,TRIBEجدگال,NNP,
PERSON,Geographical,NNP,
PERSON,Zidjal,NNP,

ma_awal_wadi.txt

GPE,MAAWAL,NNP,
ORGANIZATION,WADI,NNP,
ORGANIZATION,معاول,JJ,
PERSON,Geographical,NNP,

bushehr_town.txt

ORGANIZATION,BUSHEHR,NNP,
GPE,TOWN,NNP,
GPE,English,NNP,
PERSON,Bushire,NNP,

kifl.txt

ORGANIZATION,KIFLكفل,NNP,
PERSON,Geographical,NNP,
GPE,Turkish,JJ,
GPE,Iraq,NNP,

budaiya_.txt

PERSON,Geographical,NNP,
GPE,Bahrain,NNP,

muhaisin.txt

GPE,MUHAISIN,NNP,
PERSON,Geographical,NNP,
PERSON,Arab,NNP,

shaqrah.txt

ORGANIZATION,SHAQRAHشقره,NNP,
PERSON,Geographical,NNP,
GPE,Washam,NNP,
LOCATION,Southern,NNP,

na_ab_bani.txt

GPE,NAAB,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,NUABAHبني,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Singular,JJ,

aqq_wadi.txt

GPE,AQQ,NNP,
LOCATION,Eastern,NNP,

masirah.txt

GPE,MASIRAH,NNP,
PERSON,Geographical,NNP,

saleh_bani.txt

GPE,SALEH,NNP,
ORGANIZATION,BANI,NNP,
ORGANIZATION,ساله,JJ,
PERSON,Geographical,NNP,
PERSON,Arab,NNP,

hindiyah_qadha.txt

ORGANIZATION,HINDIYAH,NNP,
PERSON,Geographical,NNP,
ORGANIZATION,Karbala,NNP,
GPE,Baghdad,NNP,

hindarabi.txt

ORGANIZATION,HINDARABI,NNP,
PERSON,Geographical,NNP,
GPE,English,NNP,
GPE,Inderabia,NNP,

kharfah.txt

ORGANIZATION,KHARFAHخرفه,NNP,
PERSON,Geographical,NNP,
